Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
1,P029,2001,2023-06-18,1,76.4,Store
2,P047,2003,2025-04-06,1,56.07,Online
3,P022,2003,2025-12-01,1,119.9,Online
4,P010,2004,2024-02-04,2,179.98,Online
5,P020,2004,2024-09-22,1,110.59,Online
6,P089,2005,2024-06-19,2,439.8,Store
7,P069,2005,2025-05-14,2,162.4,Online
8,P037,2005,2026-02-14,1,139.8,Online
9,P036,2007,2023-05-07,1,112.45,Online
10,P085,2009,2024-11-17,2,149.0,Online
11,P072,2011,2023-10-16,3,217.05,Online
12,P004,2012,2023-02-12,2,191.64,Online
13,P008,2012,2023-08-21,3,146.25,Online
14,P091,2013,2024-01-21,1,49.9,Store
15,P075,2013,2024-09-17,1,102.4,Online
16,P020,2015,2023-09-10,1,110.59,Store
17,P096,2016,2024-08-27,2,77.8,Online
18,P084,2016,2026-04-05,3,509.4,Online
19,P068,2018,2025-09-16,1,58.95,Online
20,P085,2019,2023-07-29,2,149.0,Online
21,P010,2019,2024-04-09,1,89.99,Online
22,P019,2019,2025-01-10,3,288.45,Store
23,P090,2019,2025-10-06,1,179.5,Store
24,P073,2019,2026-06-13,3,268.5,Store
25,P009,2021,2024-09-11,1,72.4,Store
26,P003,2021,2025-11-16,2,227.64,Store
27,P058,2022,2023-03-16,4,419.6,Store
28,P012,2023,2024-08-17,1,42.8,Store
29,P076,2023,2025-12-18,1,159.9,Online
30,P092,2024,2024-04-24,3,206.25,Online
31,P050,2025,2023-04-20,1,54.32,Online
32,P014,2027,2024-07-11,1,124.5,Online
33,P086,2027,2025-03-31,1,88.95,Store
34,P046,2027,2026-01-15,2,79.52,Online
35,P008,2029,2023-11-06,3,146.25,Store
36,P078,2029,2024-05-05,1,134.75,Online
37,P024,2029,2024-10-09,3,407.25,Online
38,P052,2029,2025-03-26,1,68.45,Online
39,P022,2029,2025-09-11,3,359.7,Online
40,P075,2029,2026-02-14,1,102.4,Store
41,P046,2029,2026-08-20,2,79.52,Store
42,P076,2031,2024-08-05,2,319.8,Online
43,P097,2031,2025-04-17,2,145.2,Online
44,P055,2031,2025-12-27,3,136.8,Store
45,P100,2032,2023-12-06,2,189.5,Online
46,P093,2032,2024-09-08,1,79.95,Store
47,P076,2032,2025-07-06,1,159.9,Store
48,P015,2032,2026-05-19,2,182.5,Online
49,P067,2033,2024-12-14,1,32.5,Online
50,P025,2033,2026-02-04,1,99.99,Online
51,P087,2034,2024-04-27,2,183.4,Online
52,P100,2034,2024-12-18,3,284.25,Store
53,P040,2034,2025-08-16,1,82.3,Online
54,P034,2034,2026-04-15,5,218.35,Store
55,P099,2035,2024-08-07,1,59.9,Online
56,P007,2035,2025-04-22,3,158.7,Store
57,P080,2035,2026-01-27,3,298.5,Store
58,P011,2038,2025-01-17,3,184.05,Store
59,P029,2038,2026-02-19,2,152.8,Store
60,P084,2039,2023-12-02,1,169.8,Store
61,P080,2039,2025-05-06,4,398.0,Online
62,P063,2040,2024-12-23,2,89.0,Online
63,P004,2040,2026-02-21,2,191.64,Online
64,P088,2041,2023-11-28,2,211.7,Store
65,P037,2041,2024-08-09,2,279.6,Online
66,P068,2041,2025-04-15,2,117.9,Online
67,P017,2041,2026-01-19,1,22.84,Online
68,P025,2044,2024-05-04,5,499.95,Online
69,P044,2044,2024-09-24,1,149.99,Online
70,P025,2044,2025-02-27,4,399.96,Store
71,P059,2044,2025-07-23,1,34.75,Online
72,P032,2044,2025-12-16,2,291.88,Store
73,P089,2044,2026-05-23,1,219.9,Store
74,P082,2045,2024-11-08,2,71.2,Online
75,P006,2046,2024-10-22,1,78.45,Online
76,P015,2046,2025-07-27,1,91.25,Online
77,P035,2047,2024-09-28,1,39.55,Online
78,P029,2047,2026-03-26,1,76.4,Online
79,P014,2048,2023-09-19,2,249.0,Store
80,P076,2049,2023-09-03,1,159.9,Online
81,P087,2050,2023-05-28,1,91.7,Online
82,P048,2051,2024-01-05,1,85.84,Store
83,P082,2051,2024-08-22,3,106.8,Store
84,P034,2051,2025-04-23,2,87.34,Online
85,P005,2051,2025-11-21,3,108.18,Online
86,P011,2051,2026-07-21,3,184.05,Online
87,P080,2052,2025-09-04,2,199.0,Store
88,P027,2053,2023-02-25,1,105.3,Store
89,P093,2055,2024-08-03,1,79.95,Store
90,P095,2055,2026-01-07,1,45.5,Store
91,P072,2056,2024-10-06,1,72.35,Store
92,P059,2057,2024-01-29,2,69.5,Store
93,P063,2057,2024-12-04,1,44.5,Store
94,P094,2057,2025-10-10,2,109.6,Online
95,P064,2057,2026-08-25,2,197.5,Store
96,P072,2058,2023-07-01,1,72.35,Online
97,P080,2058,2023-12-05,1,99.5,Store
98,P047,2058,2024-05-01,4,224.28,Online
99,P008,2058,2024-10-22,2,97.5,Online
100,P058,2058,2025-04-08,1,104.9,Store
101,P083,2058,2025-09-23,3,437.7,Online
102,P048,2058,2026-03-01,2,171.68,Store
103,P096,2058,2026-08-21,1,38.9,Online
104,P098,2059,2024-03-17,1,63.45,Online
105,P032,2059,2025-08-05,1,145.94,Online
106,P020,2061,2024-11-04,2,221.18,Online
107,P068,2063,2024-10-24,1,58.95,Online
108,P093,2063,2026-06-15,1,79.95,Store
109,P020,2064,2023-11-23,1,110.59,Store
110,P077,2064,2024-05-12,1,189.5,Store
111,P076,2064,2024-10-27,1,159.9,Store
112,P026,2064,2025-04-16,3,194.4,Online
113,P002,2064,2025-09-14,2,286.7,Store
114,P025,2064,2026-03-21,1,99.99,Online
115,P026,2065,2023-09-20,3,194.4,Online
116,P034,2065,2025-03-05,1,43.67,Store
117,P087,2065,2026-07-31,3,275.1,Store
118,P083,2066,2024-01-22,1,145.9,Store
119,P048,2066,2025-04-20,2,171.68,Online
120,P016,2066,2026-08-14,1,36.06,Online
121,P084,2067,2024-10-11,2,339.6,Store
122,P057,2067,2026-04-09,5,257.0,Online
123,P090,2068,2025-05-18,1,179.5,Store
124,P066,2068,2026-07-24,1,36.9,Store
125,P007,2069,2024-03-11,2,105.8,Store
126,P028,2070,2023-11-10,2,257.3,Store
127,P031,2070,2024-09-30,2,35.56,Online
128,P030,2070,2025-07-24,1,31.9,Online
129,P094,2070,2026-04-24,1,54.8,Online
130,P021,2071,2023-05-04,1,87.45,Store
131,P096,2072,2023-03-01,2,77.8,Store
132,P004,2073,2024-03-27,4,383.28,Online
133,P091,2073,2025-04-26,2,99.8,Online
134,P021,2073,2026-07-21,1,87.45,Store
135,P032,2074,2023-02-01,1,145.94,Online
136,P091,2075,2023-09-03,1,49.9,Online
137,P074,2075,2024-05-25,3,203.25,Online
138,P096,2075,2025-02-06,2,77.8,Online
139,P013,2075,2025-10-19,1,83.6,Online
140,P090,2075,2026-07-26,2,359.0,Store
141,P093,2076,2024-09-28,1,79.95,Online
142,P051,2077,2023-12-18,1,129.9,Online
143,P087,2077,2024-08-28,2,183.4,Online
144,P042,2078,2023-04-22,1,73.55,Store
145,P082,2078,2023-09-29,1,35.6,Online
146,P049,2078,2024-02-22,2,146.62,Online
147,P098,2078,2024-07-15,1,63.45,Store
148,P034,2078,2024-12-10,1,43.67,Online
149,P006,2078,2025-05-20,2,156.9,Online
150,P089,2078,2025-10-05,1,219.9,Store
151,P051,2078,2026-03-15,1,129.9,Store
152,P025,2078,2026-08-06,2,199.98,Online
153,P093,2080,2023-12-07,1,79.95,Online
154,P043,2080,2025-06-18,1,108.4,Store
155,P056,2083,2023-12-31,1,92.75,Store
156,P043,2085,2024-03-22,1,108.4,Store
157,P042,2085,2024-11-23,3,220.65,Online
158,P031,2085,2025-07-15,2,35.56,Store
159,P061,2085,2026-04-10,1,69.95,Online
160,P009,2087,2024-02-08,1,72.4,Online
161,P008,2087,2024-12-09,1,48.75,Store
162,P063,2087,2025-08-27,1,44.5,Online
163,P074,2087,2026-06-13,2,135.5,Store
164,P081,2088,2024-05-21,3,128.4,Online
165,P019,2089,2024-09-04,1,96.15,Store
166,P042,2090,2024-10-04,2,147.1,Online
167,P008,2090,2026-04-07,2,97.5,Online
168,P083,2091,2025-06-10,1,145.9,Store
169,P003,2093,2023-11-23,2,227.64,Store
170,P030,2093,2025-05-30,3,95.7,Online
171,P020,2096,2023-09-17,3,331.77,Store
172,P078,2096,2024-02-03,1,134.75,Online
173,P029,2096,2024-06-14,3,229.2,Online
174,P055,2096,2024-10-29,1,45.6,Online
175,P006,2096,2025-03-26,2,156.9,Online
176,P011,2096,2025-08-15,1,61.35,Online
177,P096,2096,2026-01-05,2,77.8,Store
178,P017,2096,2026-05-27,2,45.68,Store
179,P030,2097,2023-11-04,2,63.8,Online
180,P029,2097,2024-08-13,1,76.4,Store
181,P025,2099,2024-06-15,2,199.98,Store
182,P097,2099,2025-04-12,2,145.2,Store
183,P009,2099,2026-01-12,1,72.4,Online
184,P009,2100,2024-03-10,4,289.6,Online
185,P066,2100,2025-04-22,1,36.9,Store
186,P001,2100,2026-06-18,3,196.68,Online
187,P056,2103,2024-05-31,1,92.75,Store
